quran_text,ur_meaning,en_meaning
عِنْدَ,ہاں,from
رَبِّكَؕ,تیرے رب کے,your Lord
وَمَا,اور نہیں ہے,And not
هِیَ,وہ,it
مِنَ,سے,(is) from
الظّٰلِمِیْنَ,ظالموں سے,the wrongdoers
بِبَعِیْدٍ,کچھ دور,far
وَاِلٰی,اور  طرف,And to
مَدْیَنَ,مدین کی,Madyan
اَخَاهُمْ,ان کے بھائی,their brother
شُعَیْبًاؕ,شعیب کو (بھیجا),Shuaib
قَالَ,اس نے کہا,He said
یٰقَوْمِ,اے میری قوم,O my people
اعْبُدُوا,عبادت کرو,Worship
اللّٰهَ,اللہ کی,Allah
مَا,نہیں,not
لَكُمْ,تمہارے لیے,(is) for you
مِّنْ,کوئی,any
اِلٰهٍ,الہ (برحق),god
غَیْرُهٗؕ,اس کے سوا,other than Him
وَلَا,اور نہ,And (do) not
تَنْقُصُوا,تم کم کرکے دو,decrease
الْمِكْیَالَ,ناپ کو,(from) the measure
وَالْمِیْزَانَ,اور تول کو,and the scale
اِنِّیْۤ,بیشک میں,Indeed I
اَرٰىكُمْ,دیکھتا ہوں تم کو,see you
بِخَیْرٍ,اچھا میں۔ ساتھ بھلائی کے,in prosperity
وَّاِنِّیْۤ,اور بیشک میں,but indeed I
اَخَافُ,میں ڈرتا ہوں,fear
عَلَیْكُمْ,تمہارے بارے میں,for you
عَذَابَ,عذاب سے,punishment
یَوْمٍ,دن کے,(of) a Day
مُّحِیْطٍ,گھیر لینے والے,all-encompassing
وَیٰقَوْمِ,اور میری قوم,And O my people
اَوْفُوا,پورا کرو,Give full
الْمِكْیَالَ,ناپ,measure
وَالْمِیْزَانَ,اور تول,and weight
بِالْقِسْطِ,ساتھ انصاف کے,in justice
وَلَا,اور نہ,and (do) not
تَبْخَسُوا,تم کم کرکے دو,deprive
النَّاسَ,لوگوں کو,the people
اَشْیَآءَهُمْ,ان کی چیزیں,(of) their things
وَلَا,اور نہ تم,and (do) not
تَعْثَوْا,فسادو کرو,act wickedly
فِی,میں,in
الْاَرْضِ,زمین (میں),the earth
مُفْسِدِیْنَ,فسادی بن کر۔ مفسد بن کر,spreading corruption
بَقِیَّتُ,دی ہوئی بچت۔ باقی رکھی ہوئی چیز,(What) remains
اللّٰهِ,اللہ کی,(from) Allah
خَیْرٌ,بہتر ہے,(is) best
لَّكُمْ,تمہارے لیے,for you
اِنْ,اگر ہو,if
كُنْتُمْ,تم,you are
مُّؤْمِنِیْنَۚ,ایمان لانے والے,believers
وَمَاۤ,اور نہیں ہوں,And not
اَنَا,میں,I am
عَلَیْكُمْ,تم پر,over you
بِحَفِیْظٍ,نگہبان,a guardian
قَالُوْا,انہوں نے کہا,They said
یٰشُعَیْبُ,اے شعیب,O Shuaib
اَصَلٰوتُكَ,کیا تیری نماز,Does your prayer
تَاْمُرُكَ,حکم دیتی ہے تجھ کو,command you
اَنْ,کہ,that
نَّتْرُكَ,ہم چھوڑ دیں,we leave
مَا,جس کی,what
یَعْبُدُ,عبادت کرتے تھے,worship
اٰبَآؤُنَاۤ,ہمارے باپ دادا,our forefathers
اَوْ,یا,or
اَنْ,یہ کہ,that
نَّفْعَلَ,ہم کریں,we do
فِیْۤ,میں,concerning
اَمْوَالِنَا,اپنے مالوں میں,our wealth
مَا,جو,what
نَشٰٓؤُاؕ,ہم چاہیں,we will
اِنَّكَ,بیشک تو,Indeed you
لَاَنْتَ,البتہ تو ہی,surely you
الْحَلِیْمُ,بردبار ہے,(are) the forbearing
الرَّشِیْدُ,راست باز ہے,the right-minded
قَالَ,اس نے کہا,He said
یٰقَوْمِ,اے میری قوم,O my people
اَرَءَیْتُمْ,کیا غور کیا تم نے,Do you see
اِنْ,اگر,if
كُنْتُ,ہوا میں,I am
عَلٰی,اوپر,on
بَیِّنَةٍ,ایک کھلی دلیل کے,a clear evidence
مِّنْ,سے,from
رَّبِّیْ,اپنے رب کی طرف سے,my Lord
وَرَزَقَنِیْ,اور اس نے رزق دیا مجھ کو,and He has provided me
مِنْهُ,اپنے پاس سے,from Himself
رِزْقًا,رزق,a good provision
حَسَنًاؕ,اچھا,a good provision
وَمَاۤ,اور نہیں,And not
اُرِیْدُ,میں چاہتا,I intend
اَنْ,کہ,that
اُخَالِفَكُمْ,میں خلاف کروں تمہارے,I differ from you
اِلٰی,طرف,in
مَاۤ,اس کے جو,what
اَنْهٰىكُمْ,میں روکتا ہوں تم کو,I forbid you
عَنْهُؕ,جس سے,from it
اِنْ,نہیں,Not
اُرِیْدُ,میں چاہتا,I intend
اِلَّا,مگر,except
الْاِصْلَاحَ,اصلاح,the reform
مَا,جو,as much as I am able
اسْتَطَعْتُؕ,میں استطاعت رکھتا ہوں,as much as I am able
وَمَا,اور نہیں,And not
تَوْفِیْقِیْۤ,توفیق میری,(is) my success
اِلَّا,مگر,except
بِاللّٰهِؕ,ساتھ اللہ کے,with Allah
عَلَیْهِ,اس پر,Upon Him
تَوَكَّلْتُ,میں نے توکل کیا,I trust
وَاِلَیْهِ,اور اسی کی طرف,and to Him
اُنِیْبُ,میں رجوع کرتا ہوں,I turn
وَیٰقَوْمِ,اور اے میری قوم,And O my people
لَا,نہ,(Let) not cause you to sin
یَجْرِمَنَّكُمْ,آمادہ کرے تم کو,(Let) not cause you to sin
شِقَاقِیْۤ,میری مخالفت۔ ضد,my dissension
اَنْ,کہ,lest
یُّصِیْبَكُمْ,پہنچے تم کو,befalls you
مِّثْلُ,مانند,similar
مَاۤ,اس کے جو,(to) what
اَصَابَ,پہنچا,befell
قَوْمَ,قوم,(the) people of Nuh
نُوْحٍ,نوح کو,(the) people of Nuh
اَوْ,یا,or
قَوْمَ,قوم,(the) people of Hud
هُوْدٍ,ہود کو,(the) people of Hud
اَوْ,یا,or
قَوْمَ,قوم,people of Salih
صٰلِحٍؕ,صالح,people of Salih
وَمَا,اور نہیں,And not
قَوْمُ,قوم,(are the) people of Lut
لُوْطٍ,لوط,(are the) people of Lut
مِّنْكُمْ,تم سے,from you
بِبَعِیْدٍ,کچھ دور,far off
وَاسْتَغْفِرُوْا,اور بخشش مانگو,And ask forgiveness
رَبَّكُمْ,اپنے رب سے,(of) your Lord
ثُمَّ,پھر,then
تُوْبُوْۤا,تو بہ کرو,turn in repentance
اِلَیْهِؕ,اس کی طرف,to Him
اِنَّ,بیشک,Indeed
رَبِّیْ,میرا رب,my Lord
رَحِیْمٌ,رحم فرمانے والا ہے,(is) Most Merciful
وَّدُوْدٌ,محبت کرنے والا ہے,Most Loving
قَالُوْا,انہوں نے کہا,They said
یٰشُعَیْبُ,اے شعیب,O Shuaib
مَا,نہیں,Not
نَفْقَهُ,ہم سمجھتے,we understand
كَثِیْرًا,بہت سا,much
مِّمَّا,اس میں سے جو,of what
تَقُوْلُ,تم کہتے ہو,you say
وَاِنَّا,اور بیشک ہم,and indeed we
لَنَرٰىكَ,البتہ ہم دیکھتے ہیں تجھ کو,surely [we] see you
فِیْنَا,اپنے میں,among us
ضَعِیْفًاۚ,کمزور,weak
وَلَوْلَا,اور اگر نہ,And if not
رَهْطُكَ,تیرا کنبہ ہوتا,for your family
لَرَجَمْنٰكَؗ,البتہ ہم سنگسار کردیتے تجھ کو,surely we would have stoned you
وَمَاۤ,اور نہیں,and you are not
اَنْتَ,تو,and you are not
عَلَیْنَا,ہم پر,against us
بِعَزِیْزٍ,کچھ بھاری۔ زبردست۔ غالب,mighty
قَالَ,اس نے کہا,He said
یٰقَوْمِ,اے میری قوم,O my people
اَرَهْطِیْۤ,کیا میرا کنبہ,Is my family
اَعَزُّ,زیادہ زور والا ہے۔ غلبے والا ہے,mightier
عَلَیْكُمْ,تم پر,on you
مِّنَ,سے,than
اللّٰهِؕ,اللہ بڑھ کر,Allah
وَاتَّخَذْتُمُوْهُ,اور تم نے بنا لیا اس کو,And you have taken Him
وَرَآءَكُمْ,اپنے پیچھے,behind your
ظِهْرِیًّاؕ,پشت کے پیچھے,backs
اِنَّ,بیشک,Indeed
رَبِّیْ,میرا رب,my Lord
بِمَا,ساتھ اس کے جو,of what
تَعْمَلُوْنَ,تم عمل کرتے ہو,you do
مُحِیْطٌ,گھیرنے والا ہے,(is) All-Encompassing
وَیٰقَوْمِ,اور اے میری قوم,And O my people
اعْمَلُوْا,عمل کرو,Work
عَلٰی,پر,(according) to
مَكَانَتِكُمْ,اپنی جگہ,your position
اِنِّیْ,بیشک میں,indeed I am
عَامِلٌؕ,عمل کرنے والا ہوں,working
سَوْفَ,عنقریب,Soon
تَعْلَمُوْنَ,تم جان لوگے,you will know
مَنْ,کون ہے,(on) whom
یَّاْتِیْهِ,کہ آتا ہے اس پر,will come
عَذَابٌ,ایک عذاب,a punishment
یُّخْزِیْهِ,جو رسوا کردے اس کو,(that will) disgrace him
وَمَنْ,اور کون ہے,and who
هُوَ,وہ,[he]
كَاذِبٌؕ,جو جھوٹا ہے,(is) a liar
وَارْتَقِبُوْۤا,اور انتظار کرو,And watch
اِنِّیْ,بیشک میں,indeed I am
مَعَكُمْ,تمہارے ساتھ,with you
رَقِیْبٌ,انتظار کرنے والا ہوں,a watcher
وَلَمَّا,اور جب,And when
جَآءَ,آگیا,came
اَمْرُنَا,ہمارا فیصلہ,Our Command
نَجَّیْنَا,نجات دی ہم نے,We saved
شُعَیْبًا,شعیب کو,Shuaib
وَّالَّذِیْنَ,اور ان لوگوں کو,and those who
اٰمَنُوْا,جو ایمان لائے,believed
مَعَهٗ,اس کے ساتھ,with him
بِرَحْمَةٍ,ساتھ رحمت کے,by a Mercy
مِّنَّا,اپنی طرف سے,from Us
وَاَخَذَتِ,اور پکڑ لیا,And seized
الَّذِیْنَ,ان لوگوں کو,those who
ظَلَمُوا,جنہوں نے ظلم کیا تھا,wronged
الصَّیْحَةُ,چیخ نے۔ چنگھاڑنے,the thunderous blast
فَاَصْبَحُوْا,تو وہ ہوگئے,then they became
فِیْ,میں,in
دِیَارِهِمْ,اپنے گھروں میں,their homes
جٰثِمِیْنَ,اوندھے گرنے والے,fallen prone
كَاَنْ,گویا کہ,As if
لَّمْ,نہیں,not
یَغْنَوْا,وہ بسے تھے,they (had) prospered
فِیْهَاؕ,ان میں,therein
اَلَا,خبردار,So
بُعْدًا,دوری ہے,away
لِّمَدْیَنَ,مدین کے لیے,with Madyan
كَمَا,جیسا کہ,as
بَعِدَتْ,دور ہوئے,was taken away
ثَمُوْدُ,ثمود,the Thamud
وَلَقَدْ,اور البتہ تحقیق,And certainly
اَرْسَلْنَا,بھیجا ہم نے,We sent
مُوْسٰی,موسیٰ کو,Musa
بِاٰیٰتِنَا,اپنی آیات کے ساتھ,with Our Signs
وَسُلْطٰنٍ,اور دلیل کے ساتھ,and an authority
مُّبِیْنٍ,کھلی,clear
اِلٰی,طرف,To
فِرْعَوْنَ,فرعون کی,Firaun
وَمَلَاۡىِٕهٖ,اور اس کے سرداروں کی طرف,and his chiefs
فَاتَّبَعُوْۤا,تو انہوں نے پیروی کی,but they followed
اَمْرَ,حکم کی,(the) command of Firaun
فِرْعَوْنَۚ,فرعون,(the) command of Firaun
وَمَاۤ,اور نہیں تھا,and not
اَمْرُ,حکم,(the) command of Firaun
فِرْعَوْنَ,فرعون کا,(the) command of Firaun
بِرَشِیْدٍ,راستی پر,was right
یَقْدُمُ,قیادت کرے گا,He will precede
قَوْمَهٗ,اپنی قوم کی,his people
یَوْمَ,دن,(on the) Day
الْقِیٰمَةِ,قیامت کے,(of) the Resurrection
فَاَوْرَدَهُمُ,پھر لے آئے گا ان کو,and lead them
النَّارَؕ,آگ پر,(into) the Fire
وَبِئْسَ,اور کتنی بری ہے,And wretched
الْوِرْدُ,گھاٹ,(is) the place
الْمَوْرُوْدُ,کھڑا کرنے کی جگہ۔ اترنے کی جگہ,to which (they are) led
وَاُتْبِعُوْا,اور وہ پیچھے لگائے گئے,And they were followed
فِیْ,میں,in
هٰذِهٖ,اس ( دنیا) میں,this
لَعْنَةً,لعنت کو۔ پھٹکار کو,(by) a curse
وَّیَوْمَ,اور دن,and (on the) Day
الْقِیٰمَةِؕ,قیامت کے,(of) the Resurrection
بِئْسَ,کتنی بری ہے,Wretched
الرِّفْدُ,بخشش,(is) the gift
الْمَرْفُوْدُ,دی جانے والی,which (will) be given
ذٰلِكَ,یہ,That
مِنْ,سے,(is) from
اَنْۢبَآءِ,خبروں میں سے ہے,(the) news
الْقُرٰی,بستوں کی,(of) the cities
نَقُصُّهٗ,ہم بیان کرتے ہیں اس کو,(which) We relate
عَلَیْكَ,آپ پر,to you
مِنْهَا,ان میں سے,of them
قَآىِٕمٌ,کچھ قائم ہیں۔ کچھ کھڑی ہیں,some are standing
وَّحَصِیْدٌ,اور کچھ کٹ چکی ہیں۔ اجڑ چکی ہیں,and (some) mown
وَمَا,اور نہیں,And not
ظَلَمْنٰهُمْ,ظلم کیا ہم نے ان پر,We wronged them
وَلٰكِنْ,لیکن,but
ظَلَمُوْۤا,انہوں نے ظلم کیا,they wronged
اَنْفُسَهُمْ,اپنے نفسوں پر,themselves
فَمَاۤ,تو نہ,So not
اَغْنَتْ,کام آئے,availed
عَنْهُمْ,ان کو,them
اٰلِهَتُهُمُ,ان کے الٰہ,their gods
الَّتِیْ,وہ جو,which
یَدْعُوْنَ,وہ پکارتے تھے,they invoked
مِنْ,کے,other than Allah
دُوْنِ,سوا,other than Allah
اللّٰهِ,اللہ کے,other than Allah
مِنْ,نا معلوم,any
شَیْءٍ,کچھ بھی,thing
لَّمَّا,جب,when
جَآءَ,آگیا,came
اَمْرُ,حکم,(the) command (of) your Lord
رَبِّكَؕ,تیرے رب کا,(the) command (of) your Lord
وَمَا,اور نہ,And not
زَادُوْهُمْ,انہوں نے زیادہ کیا ان کو,they increased them
غَیْرَ,سوائے,other than
تَتْبِیْبٍ,ہلاکت کے۔ سوائے بردباری میں,ruin
وَكَذٰلِكَ,اور اسی طرح,And thus
اَخْذُ,پکڑ ہوتی ہے,(is) the seizure (of) your Lord
رَبِّكَ,تیرے رب کی,(is) the seizure (of) your Lord
اِذَاۤ,جب,when
اَخَذَ,وہ پکڑتا ہے,He seizes
الْقُرٰی,بستیوں کو,the cities
وَهِیَ,اور وہ,while they
ظَالِمَةٌؕ,ظالم ہوتی ہیں,(are) doing wrong
اِنَّ,بیشک,Indeed
اَخْذَهٗۤ,اس کی پکڑ,His seizure
اَلِیْمٌ,دردناک ہے,(is) painful
شَدِیْدٌ,شدید ہے,(and) severe
اِنَّ,بیشک,Indeed
فِیْ,میں,in
ذٰلِكَ,اس,that
لَاٰیَةً,البتہ ایک نشانی ہے,(is) surely a Sign
لِّمَنْ,واسطے اس کے جو,for (those) who
خَافَ,ڈرے,fear
عَذَابَ,عذاب سے,(the) punishment
الْاٰخِرَةِؕ,آخرت کے,(of) the Hereafter
ذٰلِكَ,یہ,That
یَوْمٌ,ایک دن ہے,(is) a Day
مَّجْمُوْعٌ,جس میں جمع کیے جائیں گے,(will) be gathered
لَّهُ,واسطے اس کے,on it
النَّاسُ,لوگ,the mankind
وَذٰلِكَ,اور یہ,and that
یَوْمٌ,ایک دن ہے,(is) a Day
مَّشْهُوْدٌ,حاضری کا,witnessed
وَمَا,اور نہیں,And not
نُؤَخِّرُهٗۤ,تاخیر کررہے ہم اس کو,We delay it
اِلَّا,مگر,except
لِاَجَلٍ,واسطے ایک مدت کے,for a term
مَّعْدُوْدٍ,گنی چنی,limited
یَوْمَ,جس دن,(The) Day
یَاْتِ,وہ آجائے گی,(it) comes
لَا,نہ,not
تَكَلَّمُ,کلام کرے گا,will speak
نَفْسٌ,کوئی شخص,a soul
اِلَّا,مگر,except
بِاِذْنِهٖۚ,ساتھ اس کے اذن کے,by His leave
فَمِنْهُمْ,تو ان میں سے,Then among them
شَقِیٌّ,بعض بدبخت ہوں گے,(will be the) wretched
وَّسَعِیْدٌ,بعض خوش بخت,and (the) glad
فَاَمَّا,تو رہے,As for
الَّذِیْنَ,وہ لوگ,those who
شَقُوْا,جو بدبخت ہوئے,were wretched
فَفِی,تو میں,then (they will be) in
النَّارِ,آگ (میں) ہوں گے,the Fire
لَهُمْ,ان کے لیے,For them
فِیْهَا,اس میں,therein
زَفِیْرٌ,چیخ پکار ہوگی,(is) sighing
وَّشَهِیْقٌ,اور دھاڑتا,and wailing
خٰلِدِیْنَ,ہمیشہ رہنے والے ہیں,(Will be) abiding
فِیْهَا,اس میں,therein
مَا,جب تک,as long as remain
دَامَتِ,قائم ہیں,as long as remain
السَّمٰوٰتُ,آسمان,the heavens
وَالْاَرْضُ,اور زمین,and the earth
اِلَّا,مگر,except
مَا,جو,what your Lord wills
شَآءَ,چاہے,what your Lord wills
رَبُّكَؕ,تیرا رب,what your Lord wills
اِنَّ,بیشک,Indeed
رَبَّكَ,تیرا رب,your Lord
فَعَّالٌ,بہت کرنے والا ہے۔ کر گزرنے والا ہے,(is) All-Accomplisher
لِّمَا,اس چیز کے لیے,of what
یُرِیْدُ,جس کو وہ چاہتا ہے۔ جو وہ چاہتا ہے,He intends
وَاَمَّا,اور رہے,And as for
الَّذِیْنَ,وہ لوگ,those who
سُعِدُوْا,جو نیک بخت ہوئے,were glad
فَفِی,تو میں,then (they will be) in
الْجَنَّةِ,جنت,Paradise
خٰلِدِیْنَ,ہمیشہ رہنے والے ہیں,(will be) abiding
فِیْهَا,اس میں,therein
مَا,جب تک,as long as remains
دَامَتِ,قائم ہیں,as long as remains
السَّمٰوٰتُ,آسمان,the heavens
وَالْاَرْضُ,اور زمین,and the earth
اِلَّا,مگر,except
مَا,جو,what your Lord wills
شَآءَ,چاہے,what your Lord wills
رَبُّكَؕ,رب تیرا,what your Lord wills
عَطَآءً,بخشش ہے,a bestowal
غَیْرَ,نہ,not
مَجْذُوْذٍ,منقطع ہونے والی۔ لازوال,interrupted
فَلَا,پس نہ,So (do) not
تَكُ,تم ہو,be
فِیْ,میں,in
مِرْیَةٍ,شک میں,doubt
مِّمَّا,اس سے جو,as to what
یَعْبُدُ,عبادت کرتے ہیں,worship
هٰۤؤُلَآءِؕ,یہ لوگ,these (polytheists)
مَا,نہیں,Not
یَعْبُدُوْنَ,وہ عبادت کرتے,they worship
اِلَّا,مگر,except
كَمَا,جیسا کہ,as what
یَعْبُدُ,عبادت کرتے ہیں,worshipped
اٰبَآؤُهُمْ,ان کے باپ دادا,their forefathers
مِّنْ,سے,before
قَبْلُؕ,اس سے پہلے,before
وَاِنَّا,اور بیشک ہم,And indeed We
لَمُوَفُّوْهُمْ,البتہ پورا پورا دینے والے ہیں ان کو,will surely pay them in full
نَصِیْبَهُمْ,ان کا حصہ,their share
غَیْرَ,بغیر,without
مَنْقُوْصٍ,کمی کیے,being diminished
وَلَقَدْ,اور البتہ تحقیق,And verily
اٰتَیْنَا,دی ہم نے,We gave
مُوْسَی,موسیٰ کو,Musa
الْكِتٰبَ,کتاب,the Book
فَاخْتُلِفَ,پس اختلاف کیا گیا,but differences arose
فِیْهِؕ,اس میں,therein
وَلَوْلَا,اور اگر نہ ہوتی,And if not
كَلِمَةٌ,ایک بات,(for) a Word
سَبَقَتْ,جو گزر چکی,(that) preceded
مِنْ,سے,from
رَّبِّكَ,تیرے رب کی طرف سے,your Lord
لَقُضِیَ,البتہ فیصلہ کردیا جاتا,surely would have been judged
بَیْنَهُمْؕ,ان کے درمیان,between them
وَاِنَّهُمْ,اور بیشک وہ,And indeed they
لَفِیْ,البتہ  میں ہیں,surely (are) in
شَكٍّ,شک (میں ہیں),doubt
مِّنْهُ,اس کی طرف سے,concerning it
مُرِیْبٍ,بےچین کرنے والے,suspicious
وَاِنَّ,اور بیشک,And indeed
كُلًّا,سب کے سب,to each [when]
لَّمَّا,البتہ جو,to each [when]
لَیُوَفِّیَنَّهُمْ,البتہ ضرور پورا کرکے دے گا ان کو,surely will pay them in full
رَبُّكَ,تیرا رب,your Lord
اَعْمَالَهُمْؕ,ان کے اعمال,their deeds
اِنَّهٗ,بیشک وہ,Indeed He
بِمَا,ساتھ اس کے جو,of what
یَعْمَلُوْنَ,وہ عمل کرتے ہیں,they do
خَبِیْرٌ,باخبر,(is) All-Aware
فَاسْتَقِمْ,پس قائم رہ,So stand firm
كَمَاۤ,جیسا کہ,as
اُمِرْتَ,تو حکم دیا گیا,you are commanded
وَمَنْ,اور جو,and (those) who
تَابَ,توبہ کریں۔ پلٹ آئیں,turn (in repentance)
مَعَكَ,تیرے ساتھ,with you
وَلَا,اور نہ,and (do) not
تَطْغَوْاؕ,تم سرکشی کرو,transgress
اِنَّهٗ,بیشک وہ,Indeed He
بِمَا,ساتھ اس کے جو,of what
تَعْمَلُوْنَ,تم عمل کرتے ہو,you do
بَصِیْرٌ,دیکھنے والا ہے,(is) All-Seer
وَلَا,اور نہ,And (do) not
تَرْكَنُوْۤا,تم جھکو۔ مائل ہو,incline
اِلَی,طرف,to
الَّذِیْنَ,ان لوگوں کی,those who
ظَلَمُوْا,جنہوں نے ظلم کیا,do wrong
فَتَمَسَّكُمُ,چھو لے گی تم کو,lest touches you
النَّارُ,آگ,the Fire
وَمَا,اور نہیں,and not
لَكُمْ,ہوگا  تمہارے لیے,(is) for you
مِّنْ,کے,besides Allah
دُوْنِ,سوا,besides Allah
اللّٰهِ,اللہ کے,besides Allah
مِنْ,کوئی,any
اَوْلِیَآءَ,مددگار,protectors
ثُمَّ,پھر,then
لَا,نہ,not
تُنْصَرُوْنَ,تم مدد دیے جاؤ گے,you will be helped
وَاَقِمِ,اور قائم کرو,And establish
الصَّلٰوةَ,نماز,the prayer
طَرَفَیِ,دونوں کناروں پر,(at the) two ends
النَّهَارِ,دن کے,(of) the day
وَزُلَفًا,اور کچھ حصہ,and (at) the approach
مِّنَ,سے,of
الَّیْلِؕ,رات میں سے,the night
اِنَّ,بیشک,Indeed
الْحَسَنٰتِ,نیکیاں,the good deeds
یُذْهِبْنَ,لے جاتی ہیں,remove
السَّیِّاٰتِؕ,برائیوں کو,the evil deeds
ذٰلِكَ,یہ,That
ذِكْرٰی,ایک نصیحت ہے,(is) a reminder
لِلذّٰكِرِیْنَ,ذکر کرنے والوں کے لیے۔ یاد رکھنے والوں کے لیے,for those who remember
وَاصْبِرْ,اور صبر کرو,And be patient
فَاِنَّ,پس بیشک,for indeed
اللّٰهَ,اللہ تعالیٰ,Allah
لَا,نہیں,(does) not
یُضِیْعُ,ضائع کرتا,let go waste
اَجْرَ,اجر,(the) reward
الْمُحْسِنِیْنَ,احسان کرنے والوں کا,(of) the good-doers
فَلَوْلَا,پھر کیوں نہ,So why not
كَانَ,تھے,had been
مِنَ,سے,of
الْقُرُوْنِ,قوموں میں سے۔ زمانوں میں سے,the generations
مِنْ,سے,before you
قَبْلِكُمْ,تم سے پہلے,before you
اُولُوْا,والے,those possessing a remnant
بَقِیَّةٍ,سمجھ والے,those possessing a remnant
یَّنْهَوْنَ,جو روکتے,forbidding
عَنِ,سے,from
الْفَسَادِ,فساد سے,the corruption
فِی,میں,in
الْاَرْضِ,زمین میں,the earth
اِلَّا,مگر,except
قَلِیْلًا,تھوڑے,a few
مِّمَّنْ,ان میں سے,of those
اَنْجَیْنَا,جن کونجات دی ہم نے,We saved
مِنْهُمْۚ,ان میں سے,among them
وَاتَّبَعَ,اور پیروی کی,But followed
الَّذِیْنَ,ان لوگوں نے,those who
ظَلَمُوْا,جنہوں نے ظلم کیا ان کی,did wrong
مَاۤ,جو,what
اُتْرِفُوْا,دولت دیے گئے,luxury they were given
فِیْهِ,اس میں,therein
وَكَانُوْا,اور تھے,and they were
مُجْرِمِیْنَ,وہ مجرم,criminals
وَمَا,اور نہیں,And not
كَانَ,ہے,would
رَبُّكَ,تیرارب,your Lord
لِیُهْلِكَ,کہ ہلاک کردے,destroy
الْقُرٰی,بستیوں کو,the cities
بِظُلْمٍ,ساتھ ظلم کے,unjustly
وَّاَهْلُهَا,جبکہ اس کے رہنے والے,while its people
مُصْلِحُوْنَ,اصلاح کرنے والے ہوں,(were) reformers
وَلَوْ,اور اگر,And if
شَآءَ,چاہتا,your Lord (had) willed
رَبُّكَ,تیرا رب,your Lord (had) willed
لَجَعَلَ,البتہ کردیتا,surely He (could) have made
النَّاسَ,لوگوں کو,the mankind
اُمَّةً,امت,one community
وَّاحِدَةً,ایک,one community
وَّلَا,اور,but not
یَزَالُوْنَ,ہمیشہ رہیں گے,they will cease
مُخْتَلِفِیْنَ,اختلاف کرنے والے,to differ
اِلَّا,مگر,Except
مَنْ,جس پر,(on) whom
رَّحِمَ,رحم کرے,your Lord has bestowed Mercy
رَبُّكَؕ,رب تیرا,your Lord has bestowed Mercy
وَلِذٰلِكَ,اور اسی لیے,and for that
خَلَقَهُمْؕ,اس نے پیدا کیا ان کو,He created them
وَتَمَّتْ,اور پوری ہوگئی,And will be fulfilled
كَلِمَةُ,بات,(the) Word of your Lord
رَبِّكَ,تیرے رب کی,(the) Word of your Lord
لَاَمْلَـَٔنَّ,البتہ میں ضرور بالضرور دوں گا,Surely I will fill
جَهَنَّمَ,جہنم کو,Hell
مِنَ,سے,with
الْجِنَّةِ,جنوں سے,the Jinn
وَالنَّاسِ,اور انسانوں سے,and the men
اَجْمَعِیْنَ,سب کے سب,all together
وَكُلًّا,اور ہر ایک کو,And each
نَّقُصُّ,ہم بیان کرتے ہیں,We relate
عَلَیْكَ,آپ پر,to you
مِنْ,سے,of
اَنْۢبَآءِ,خبروں میں سے,(the) news
الرُّسُلِ,رسولوں کی,(of) the Messengers
مَا,جو,(for) that
نُثَبِّتُ,ہم مضبوط کرتے ہیں,We may make firm
بِهٖ,ساتھ اس کے,with it
فُؤَادَكَۚ,تیرے دل کو,your heart
وَجَآءَكَ,اور آگیا تیرے پاس,And has come to you
فِیْ,میں,in
هٰذِهِ,اس (میں),this
الْحَقُّ,حق,the truth
وَمَوْعِظَةٌ,اور نصیحت,and an admonition
وَّذِكْرٰی,اور یاد دہانی,and a reminder
لِلْمُؤْمِنِیْنَ,ایمان لانے والوں کے لیے,for the believers
وَقُلْ,اور کہہ دیجیے,And say
لِّلَّذِیْنَ,ان لوگوں کو,to those who
لَا,نہیں,(do) not
یُؤْمِنُوْنَ,جو ایمان  لاتے,believe
اعْمَلُوْا,عمل کرو,Work
عَلٰی,پر,(according) to
مَكَانَتِكُمْؕ,اپنی جگہ پر,your position
اِنَّا,بیشک ہم,indeed we
عٰمِلُوْنَ,عمل کرنے والے ہیں,(are also) working
وَانْتَظِرُوْاۚ,اور انتظار کرو,And wait
اِنَّا,بیشک ہم,indeed we
مُنْتَظِرُوْنَ,انتظار کرنے والے ہیں,(are) ones who wait
وَلِلّٰهِ,اور اللہ کے لیے ہے,And for Allah
غَیْبُ,غیب,(is the) unseen
السَّمٰوٰتِ,آسمانوں کا,(of) the heavens
وَالْاَرْضِ,اور زمین کا,and the earth
وَاِلَیْهِ,اور اس کی طرف,and to Him
یُرْجَعُ,لوٹائے جاتے ہیں,will be returned
الْاَمْرُ,معاملات,the matter
كُلُّهٗ,سارے کے سارے,all (of) it
فَاعْبُدْهُ,پس عبادت کیجئے اس کی,so worship Him
وَتَوَكَّلْ,اور توکل کیجئے,and put your trust
عَلَیْهِؕ,اس پر,upon Him
وَمَا,اور نہیں,And your Lord is not
رَبُّكَ,رب تیرا,And your Lord is not
بِغَافِلٍ,غافل,unaware
عَمَّا,اس سے جو,of what
تَعْمَلُوْنَ,تم عمل کرتے ہو,you do
الٓرٰ۫,ا ل ر,Alif Laam Ra
تِلْكَ,یہ,These
اٰیٰتُ,آیات ہیں,(are the) Verses
الْكِتٰبِ,کتاب,(of) the Book
الْمُبِیْنِ,روشن کی۔ واضح کتاب کی,[the] clear
اِنَّاۤ,بیشک ہم نے,Indeed We
اَنْزَلْنٰهُ,نازل کیا ہم نے اس کو,We have sent it down
قُرْءٰنًا,ایک قرآن,(as) a Quran in Arabic
